fpr,tpr
0.0,0.0
0.0005,0.0040382903333663345
0.001,0.008062281307603447
0.0015,0.012072016437090882
0.002,0.016067539125478425
0.0025,0.02004889266590515
0.003,0.024016120241233008
0.0035,0.027969264924265103
0.004,0.03190836967797883
0.0045000000000000005,0.035833477355743826
0.005,0.03974463070155332
0.0055,0.043641872350242306
0.006,0.04752524482771814
0.006500000000000001,0.05139479055117757
0.007,0.055250551829336914
0.0075,0.05909257086264841
0.008,0.06292088974352972
0.0085,0.0667355504565793
0.009000000000000001,0.07053659487880548
0.0095,0.07432406477984144
0.01,0.07809800182217264
0.0105,0.08185844756135219
0.011,0.08560544344622711
0.0115,0.08933903081915262
0.012,0.09305925091621836
0.0125,0.09676614486746193
0.013000000000000001,0.10045975369709403
0.0135,0.1041401183237114
0.014,0.10780727956052161
0.0145,0.11146127811555495
0.015,0.11510215459188888
0.0155,0.11872994948785875
0.016,0.12234470319728208
0.0165,0.12594645600966836
0.017,0.1295352481104427
0.0175,0.13311111958115474
0.018000000000000002,0.1366741103997019
0.0185,0.1402242604405376
0.019,0.14376160947489358
0.0195,0.1472861971709878
0.02,0.1507980630942457
0.0205,0.15429724670750766
0.021,0.15778378737124954
0.021500000000000002,0.1612577243437896
0.022,0.1647190967815081
0.0225,0.16816794373905375
0.023,0.1716043041695624
0.0235,0.17502821692486303
0.024,0.17843972075569603
0.0245,0.18183885431191782
0.025,0.18522565614271902
0.025500000000000002,0.1886001646968284
0.026000000000000002,0.19196241832272976
0.0265,0.1953124552688662
0.027,0.19865031368385533
0.0275,0.20197603161669375
0.028,0.20528964701697117
0.0285,0.20859119773507373
0.029,0.21188072152239867
0.029500000000000002,0.2151582560315558
0.03,0.21842383881658212
0.0305,0.22167750733314295
0.031,0.22491929893874463
0.0315,0.22814925089293636
0.032,0.23136740035752168
0.0325,0.23457378439675958
0.033,0.23776843997757535
0.0335,0.2409514039697609
0.034,0.2441227131461856
0.0345,0.2472824041829953
0.035,0.2504305136598224
0.035500000000000004,0.2535670780599849
0.036000000000000004,0.25669213377069544
0.0365,0.2598057170832593
0.037,0.2629078641932834
0.0375,0.26599861120087354
0.038,0.26907799411084277
0.0385,0.2721460488329073
0.039,0.27520281118189505
0.0395,0.27824831687794094
0.04,0.28128260154669393
0.0405,0.28430570071951256
0.041,0.2873176498336709
0.0415,0.2903184842325538
0.042,0.29330823916586135
0.0425,0.2962869497898044
0.043000000000000003,0.2992546511673084
0.043500000000000004,0.3022113782682073
0.044,0.30515716596944764
0.0445,0.30809204905528165
0.045,0.31101606221747036
0.0455,0.3139292400554765
0.046,0.31683161707666674
0.0465,0.31972322769650385
0.047,0.32260410623874847
0.0475,0.3254742869356504
0.048,0.32833380392815037
0.0485,0.33118269126607003
0.049,0.33402098290831295
0.0495,0.3368487127230547
0.05,0.3396659144879429
0.0505,0.3424726218902864
0.051000000000000004,0.3452688685272549
0.051500000000000004,0.34805468790606764
0.052000000000000005,0.3508301134441921
0.0525,0.35359517846953237
0.053,0.35634991622062695
0.0535,0.35909435984683646
0.054,0.3618285424085411
0.0545,0.36455249687732794
0.055,0.3672662561361869
0.0555,0.36996985297969787
0.056,0.3726633201142264
0.0565,0.37534669015810995
0.057,0.3780199956418526
0.0575,0.38068326900831106
0.058,0.38333654261288896
0.0585,0.3859798487237217
0.059000000000000004,0.38861321952187033
0.059500000000000004,0.39123668710150594
0.06,0.393850283470103
0.0605,0.39645404054862254
0.061,0.3990479901717049
0.0615,0.40163216408785496
0.062,0.404206593959629
0.0625,0.4067713113638225
0.063,0.40932634779165833
0.0635,0.41187173464897175
0.064,0.4144075032563955
0.0645,0.4169336848495473
0.065,0.41945031057921567
0.0655,0.4219574115115444
0.066,0.42445501862821666
0.0665,0.42694316282664035
0.067,0.4294218749201335
0.0675,0.4318911856381076
0.068,0.43435112562624945
0.0685,0.4368017254467066
0.069,0.4392430155782706
0.0695,0.4416750264165594
0.07,0.44409778827419844
0.07050000000000001,0.44651133138100396
0.07100000000000001,0.44891568588416597
0.07150000000000001,0.4513108818484288
0.07200000000000001,0.45369694925627124
0.0725,0.4560739180080884
0.073,0.45844181792237415
0.0735,0.46080067873589947
0.074,0.4631505301038915
0.0745,0.4654914016002173
0.075,0.46782332271755833
0.0755,0.4701463228675943
0.076,0.472460431381178
0.0765,0.4747656775085175
0.077,0.4770620904193511
0.0775,0.47934969920312853
0.078,0.48162853286918517
0.0785,0.48389862034692344
0.079,0.48615999048598535
0.0795,0.4884126720564341
0.08,0.49065669374892584
0.0805,0.4928920841748904
0.081,0.4951188718667029
0.0815,0.49733708527786336
0.082,0.4995467527831683
0.0825,0.5017479026788895
0.083,0.5039405631829446
0.0835,0.5061247624350761
0.084,0.5083005284970208
0.0845,0.5104678893526882
0.085,0.5126268729083295
0.0855,0.5147775069927157
0.08600000000000001,0.5169198193573058
0.08650000000000001,0.5190538376764235
0.08700000000000001,0.5211795895474263
0.08750000000000001,0.5232971024908808
0.088,0.5254064039507309
0.0885,0.5275075212944732
0.089,0.5296004818133244
0.0895,0.5316853127223959
0.09,0.533762041160861
0.0905,0.5358306941921285
0.091,0.5378912988040092
0.0915,0.5399438819088898
0.092,0.5419884703438982
0.0925,0.5440250908710766
0.093,0.5460537701775467
0.0935,0.5480745348756821
0.094,0.5500874115032728
0.0945,0.5520924265236968
0.095,0.5540896063260847
0.0955,0.5560789772254904
0.096,0.5580605654630546
0.0965,0.5600343972061756
0.097,0.5620004985486727
0.0975,0.5639588955109551
0.098,0.5659096140401849
0.0985,0.5678526800104469
0.099,0.5697881192229098
0.0995,0.5717159574059956
0.1,0.57363622021554
