population_share,cumulative_risky,cumulative_favorable,ks_gap
0.0,0.0,0.0,0.0
0.0005,0.0012883751591531434,3.0953788684426243e-09,0.001288372063774275
0.001,0.0025757338331474644,1.8479873841448505e-08,0.002575715353273623
0.0015,0.003862076315806262,5.255587106478204e-08,0.0038620237599351973
0.002,0.005147402901015785,1.1032760502357316e-07,0.005147292573410762
0.0025,0.0064317138827236775,1.9610814158047388e-07,0.006431517774582097
0.003,0.007715009554940422,3.1376639441660916e-07,0.007714695788546005
0.0035,0.008997290211737896,4.668524606106315e-07,0.008996823359277286
0.004,0.010278556147251372,6.586722687974517e-07,0.010277897474982575
0.0045000000000000005,0.011558807655677295,8.923365121917039e-07,0.011557915319165103
0.005,0.012838045031275613,1.1707948751073068e-06,0.012836874236400507
0.0055,0.014116268568367452,1.49686112874856e-06,0.014114771707238703
0.006,0.015393478561337659,1.8732322054722937e-06,0.015391605329132186
0.006500000000000001,0.01666967530463226,2.3025031133640524e-06,0.016667372801518896
0.007,0.017944859092761223,2.787178869317203e-06,0.017942071913891907
0.0075,0.019219030220295807,3.3296842298477584e-06,0.01921570053606596
0.008,0.020492188981870996,3.932371754014637e-06,0.02048825661011698
0.0085,0.0217643356721835,4.597528576152754e-06,0.021759738143607345
0.009000000000000001,0.023035470585993756,5.327382162338531e-06,0.023030143203831416
0.0095,0.02430559401812371,6.124105253675729e-06,0.024299469912870034
0.01,0.02557470626345959,6.989820149894369e-06,0.025567716443309695
0.0105,0.026842807616949127,7.926602451244775e-06,0.026834881014497883
0.011,0.028109898373604003,8.936484350737671e-06,0.028100961889253265
0.0115,0.02937597882849796,1.002145754951175e-05,0.02936595737094845
0.012,0.030641049276768695,1.1183475853565933e-05,0.03062986580091513
0.0125,0.031905110013615845,1.2424457498960941e-05,0.031892685556116886
0.013000000000000001,0.03316816133430345,1.3746287243964491e-05,0.03315441504705948
0.0135,0.034430203534157044,1.5150818259846811e-05,0.0344150527158972
0.014,0.035691236908567125,1.6639873846669867e-05,0.03567459703472046
0.0145,0.0369512617529858,1.8215248996122157e-05,0.036933046503989674
0.015,0.038210278362929784,1.9878711819986616e-05,0.0381903996511098
0.0155,0.03946828703397798,2.1632004860009407e-05,0.03944665502911797
0.016,0.04072528806177356,2.34768462926247e-05,0.04070181121548093
0.0165,0.041981281742022314,2.5414931040081058e-05,0.041955866810982234
0.017,0.043236268370494435,2.744793179792689e-05,0.04320882043869651
0.0175,0.04449024824302228,2.9577499987484772e-05,0.044460670743034794
0.018000000000000002,0.04574322165550326,3.180526664082705e-05,0.04571141638886243
0.0185,0.04699518890389709,3.413284322482046e-05,0.04696105606067227
0.019,0.04824615028422807,3.656182241000435e-05,0.04820958846181807
0.0195,0.04949610609258337,3.9093778789380966e-05,0.049457012313793985
0.02,0.05074505662511475,4.1730269551608175e-05,0.05070332635556314
0.0205,0.05199300217803671,4.447283511257778e-05,0.05194852934292413
0.021,0.05323994304762869,4.7322999708924033e-05,0.05319262004791977
0.021500000000000002,0.054485879530232983,5.028227195662634e-05,0.054435597258276354
0.022,0.05573081192225682,5.3352145377538336e-05,0.05567745977687928
0.0225,0.05697474052017004,5.65340988963854e-05,0.056918206421273654
0.023,0.05821766562050812,5.982959731051791e-05,0.0581578360231976
0.0235,0.05945958751986902,6.324009173448422e-05,0.05939634742813453
0.024,0.0607005065149161,6.676702002128916e-05,0.060633739494894805
0.0245,0.06194042290237578,7.041180716202888e-05,0.06187001109521375
0.025,0.06317933697903966,7.417586566543846e-05,0.06310516111337422
0.025500000000000002,0.0644172490417626,7.806059591874928e-05,0.06433918844584385
0.026000000000000002,0.06565415938746466,8.206738653113129e-05,0.06557209200093353
0.0265,0.06689006831312938,8.619761466088422e-05,0.06680387069846849
0.027,0.06812497611580559,9.045264632744365e-05,0.06803452346947815
0.0275,0.06935888309260563,9.483383670917883e-05,0.06926404925589645
0.028,0.07059178954070722,9.934253042787981e-05,0.07049244701027933
0.0285,0.07182369575735148,0.00010398006182075926,0.07171971569553072
0.029,0.07305460203984548,0.0001087477552007293,0.07294585428464476
0.029500000000000002,0.07428450868555947,0.00011364692510565507,0.07417086176045382
0.03,0.07551341599192973,0.00011867887653723353,0.0753947371153925
0.0305,0.07674132425645586,0.00012384490519009713,0.07661747935126575
0.031,0.0779682337767037,0.00012914629767169796,0.077839087479032
0.0315,0.0791941448503024,0.00013458433171348875,0.07905956051858892
0.032,0.08041905777494729,0.00014016027637387882,0.0802788974985734
0.0325,0.0816429728483975,0.0001458753922334109,0.08149709745616408
0.033,0.08286589036847813,0.0001517309315825735,0.08271415943689556
0.0335,0.08408781063307824,0.00015772813860263517,0.0839300824944756
0.034,0.08530873394015304,0.00016386824953986204,0.08514486569061318
0.0345,0.08652866058772146,0.00017015249287345477,0.086358508094848
0.035,0.08774759087386919,0.00017658208947752104,0.08757100878439167
0.035500000000000004,0.08896552509674549,0.00018315825277737772,0.08878236684396812
0.036000000000000004,0.09018246355456627,0.00018988218890046,0.08999258136566582
0.0365,0.09139840654561149,0.00019675509682209595,0.09120165144878939
0.037,0.09261335436822771,0.0002037781685063908,0.09240957619972132
0.0375,0.09382730732082545,0.00021095258904244824,0.093616354731783
0.038,0.09504026570188207,0.0002182795367761454,0.09482198616510593
0.0385,0.09625222980993908,0.00022576018343766296,0.09602646962650142
0.039,0.09746319994360486,0.000233395694264961,0.0972298042493399
0.0395,0.09867317640155204,0.0002411872281233807,0.09843198917342866
0.04,0.09988215948252,0.0002491359376215414,0.09963302354489845
0.0405,0.10109014948531281,0.0002572429692236926,0.10083290651608912
0.041,0.1022971467088013,0.00026550946335867335,0.10203163724544263
0.0415,0.1035031514519209,0.00027393655452562026,0.10322921489739528
0.042,0.104708164013674,0.0002825253713965614,0.10442563864227744
0.0425,0.1059121846931278,0.0002912770369160227,0.10562090765621178
0.043000000000000003,0.10711521378941657,0.0003001926683977692,0.1068150211210188
0.043500000000000004,0.1083172516017391,0.0003092733776187958,0.10800797822412031
0.044,0.10951829842936178,0.00031852027091067663,0.10919977815845111
0.0445,0.11071835457161561,0.00032793444924837775,0.11039042012236723
0.045,0.11191742032789898,0.00033751700833662925,0.11157990331956234
0.0455,0.11311549599767523,0.00034726903869395335,0.11276822695898128
0.046,0.114312581880475,0.00035719162573443527,0.11395539025474057
0.0465,0.11550867827589428,0.00036728584984732247,0.11514139242604696
0.047,0.11670378548359617,0.0003775527864745327,0.11632623269712164
0.0475,0.11789790380330922,0.00038799350618614763,0.11750991029712307
0.048,0.11909103353482942,0.0003986090747539651,0.11869242446007545
0.0485,0.12028317497801833,0.00040940055322318035,0.11987377442479515
0.049,0.1214743284328047,0.000420368997982262,0.12105395943482244
0.0495,0.12266449419918302,0.00043151546083108677,0.12223297873835193
0.05,0.12385367257721547,0.0004428409890473938,0.12341083158816807
0.0505,0.12504186386702976,0.0004543466254516161,0.12458751724157814
0.051000000000000004,0.1262290683688213,0.00046603340847014494,0.12576303496035116
0.051500000000000004,0.12741528638285127,0.00047790237219707984,0.1269373840106542
0.052000000000000005,0.12860051820944873,0.0004899545464545152,0.12811056366299423
0.0525,0.12978476414900852,0.0005021909568514117,0.1292825731921571
0.053,0.1309680245019934,0.0005146126248410999,0.13045341187715231
0.0535,0.1321502995689321,0.0005272205677774585,0.13162307900115464
0.054,0.13333158965042124,0.0005400157989698129,0.13279157385145143
0.0545,0.1345118950471238,0.0005529993277365919,0.1339588957193872
0.055,0.13569121605977041,0.0005661721594577841,0.13512504390031263
0.0555,0.13686955298915837,0.0005795352956262306,0.13629001769353213
0.056,0.13804690613615278,0.00059308973389779,0.13745381640225499
0.0565,0.13922327580168514,0.0006068364681404108,0.13861643933354473
0.057,0.14039866228675524,0.0006207764884821449,0.1397778857982731
0.0575,0.14157306589242935,0.0006349107813581327,0.14093815511107122
0.058,0.14274648691984193,0.0006492403295565928,0.14209724659028533
0.0585,0.14391892567019415,0.0006637661122638439,0.1432551595579303
0.059000000000000004,0.14509038244475547,0.0006784891051083886,0.14441189333964707
0.059500000000000004,0.14626085754486196,0.0006934102802040858,0.14556744726465787
0.06,0.1474303512719185,0.0007085306061924391,0.14672182066572606
0.0605,0.1485988639273963,0.0007238510482840252,0.14787501287911228
0.061,0.14976639581283535,0.0007393725682990873,0.14902702324453626
0.0615,0.1509329472298433,0.0007550961247073181,0.15017785110513598
0.062,0.15209851848009492,0.0007710226726668534,0.15132749580742808
0.0625,0.1532631098653332,0.0007871531640624999,0.1524759567012707
0.063,0.15442672168736937,0.0008034885475432164,0.15362323313982615
0.0635,0.1555893542480825,0.0008200297685588708,0.15476932447952363
0.064,0.15675100784941942,0.0008367777693962915,0.15591423008002314
0.0645,0.15791168279339485,0.0008537334892146313,0.1570579493041802
0.065,0.15907137938209226,0.0008708978640800651,0.1582004815180122
0.0655,0.1602300979176634,0.0008882718269998348,0.15934182609066358
0.066,0.16138783870232742,0.0009058563079556626,0.16048198239437175
0.0665,0.16254460203837207,0.0009236522339365467,0.16162094980443553
